샹치와 텐 링즈의 전설,6.79,4970,15.75%
최선의 삶,8.96,82,7.78%
인질,7.36,3678,5.75%
건파우더 밀크셰이크,6.90,42,5.36%
코다,9.42,318,5.23%
바쿠라우,8.41,17,4.25%
맨 인 더 다크 2 ,8.20,364,3.79%
모가디슈,8.32,13731,2.16%
습도 다소 높음,8.60,45,2.03%
사랑에 관한 짧은 필름,8.67,147,1.31%
생각의 여름,8.28,43,1.31%
살인에 관한 짧은 필름,8.15,65,1.18%
싱크홀,6.78,5794,1.05%
노매드랜드,8.47,629,0.72%
꽃다발 같은 사랑을 했다,9.09,343,0.59%
리스펙트,9.00,2,0.52%
여름날 우리,8.98,279,0.52%
레미니센스,7.01,348,0.39%
분노,8.56,1307,0.33%
캡틴 판타스틱,8.59,452,0.26%
프리 가이,9.11,1747,0.26%
퍼피 구조대 더 무비,9.59,78,0.26%
중경삼림,8.92,2577,0.13%
극장판 페이트/그랜드 오더 신성원탁영역 카멜롯 팔라딘; 아가트람,8.56,16,0.13%
그린 나이트,7.63,385,0.13%
이도공간,8.29,225,예매율 없음
나는 나대로 혼자서 간다,7.96,27,0.13%
사제로부터 온 편지,10.00,5,0.13%
올드,6.72,731,0.13%
인트로덕션,7.67,91,0.07%
팜 스프링스,8.25,61,0.07%
캐논볼,8.71,28,0.07%
남색대문,8.23,62,0.07%
갈매기,8.92,64,0.07%
사냥의 시간,5.67,9585,예매율 없음
소셜 네트워크,7.84,2863,0.07%
자마,8.00,11,0.07%
박강아름 결혼하다,9.55,33,0.07%
잘리카투,7.55,31,0.07%
묵향,5.33,3,0.01%
귀문,4.71,600,0.01%
코드 카림,4.92,13,0.01%
아담,7.50,6,0.01%
블랙 위도우,8.48,7247,0.01%
"구름의 저편, 약속의 장소",6.89,111,0.01%
별을 쫓는 아이,7.91,1413,0.01%
언어의 정원,8.16,2483,0.01%
언더그라운드,8.00,5,0.01%
하이큐!! 땅 VS 하늘,8.51,177,0.01%
더 수어사이드 스쿼드,7.06,2242,0.01%
숏버스 감성행,8.30,10,0.01%
다이노 마이 프렌드,6.14,14,0.01%
피닉스,8.45,66,0.01%
교실 안의 야크,9.40,173,0.01%
켈리 갱,7.43,7,0.01%
오필리아,7.84,85,0.01%
올리버 색스: 그의 생애,9.33,3,0.01%
"우리, 둘",9.14,44,0.01%
은혼 더 파이널,9.44,256,0.01%
69세,8.64,7597,0.01%
기담,7.49,4088,0.01%
너의 췌장을 먹고 싶어,8.39,1070,0.01%
암살자들,8.92,52,0.01%
윤희에게,8.97,2587,0.01%
트립 투 그리스,5.70,43,0.01%
화양연화,8.77,1897,0.01%
갈매기,8.08,142,0.01%
강변호텔,6.00,410,0.01%
극장판 도라에몽: 진구의 신공룡,9.22,113,0.01%
너와 파도를 탈 수 있다면,8.58,320,0.01%
너의 췌장을 먹고 싶어,8.10,4909,0.01%
더 나이트,5.08,12,0.01%
더스트맨,8.30,50,0.01%
데미지,7.52,223,0.01%
독전,7.52,18811,0.01%
릴리 슈슈의 모든 것,8.11,1350,0.01%
메리 크리스마스 미스터 모,8.89,83,0.01%
몽마르트 파파,9.46,169,0.01%
바울,9.17,1991,0.01%
번지 점프를 하다,8.98,2611,0.01%
베로니카의 이중 생활,8.20,147,0.01%
보스 베이비 2,9.11,1526,0.01%
북샵,8.74,27,0.01%
빛나는 순간,8.48,264,0.01%
세 가지 색 : 레드,8.30,94,0.01%
세 가지 색 : 블루,8.37,173,0.01%
수필러브,0.00,0,0.01%
신세계,8.94,21746,0.01%
신은 죽지 않았다 3: 어둠 속의 빛,8.29,417,0.01%
악녀,6.97,9379,0.01%
에로스,6.79,92,0.01%
와인 패밀리,8.26,39,0.01%
우리의 20세기,8.25,579,0.01%
이별의 아침에 약속의 꽃을 장식하자,8.91,1436,0.01%
이스케이프 룸 2: 노 웨이 아웃,8.31,576,0.01%
이중섭의 아내,7.20,25,0.01%
정말 먼 곳,8.13,117,0.01%
천로역정: 천국을 찾아서,8.84,1040,0.01%
콰이강의 다리,8.87,202,0.01%
크레센도,9.02,40,0.01%
하나와 앨리스,8.11,1609,0.01%
학교 가는 길,9.58,155,0.01%
해피 투게더,9.19,1165,0.01%
호우시절,7.40,1917,0.01%
흩어진 밤,7.68,31,0.01%
뉴욕의 왕,8.88,17,예매율 없음
라임라이트,9.36,88,예매율 없음
모던 타임즈,9.33,1200,예매율 없음
미스 사이공: 25주년 특별 공연,9.21,280,예매율 없음
서커스,9.38,45,예매율 없음
시티 라이트,9.44,200,예매율 없음
위대한 독재자,9.24,386,예매율 없음
콜,7.57,5976,예매율 없음
키드,9.26,151,예매율 없음
파리의 여인,9.08,13,예매율 없음
황금광시대,9.01,144,예매율 없음
