이름,별점,가격
이엠텍 지포스 RTX 3060 STORM X Dual OC D6 12GB,4.8,990000
MSI 지포스 RTX 3060 벤투스 2X OC D6 12GB,5.0,929710
MSI 지포스 RTX 3060 Ti 게이밍 X D6 8GB 트윈프로져8 LHR,4.9,1170060
이엠텍 지포스 RTX 3070 BLACK EDITION OC D6 8GB LHR,5.0,1378000
MSI 지포스 RTX 3080 Ti 슈프림 X D6X 12GB 트라이프로져2S,4.6,2889480
이엠텍 지포스 RTX 3070 Ti BLACK EDITION D6X 8GB,4.9,1728950
ASUS KO 지포스 RTX 3060 O12G GAMING OC D6 12GB,4.7,1100000
ASUS PH 지포스 GT1030 O2G D5 2GB,4.7,138110
MSI 지포스 RTX 3080 슈프림 X D6X 10GB 트라이프로져2S LHR,4.7,1908000
이엠텍 지포스 GTX 1660 SUPER STORM X Dual BASIC OC D6 6GB,4.8,805000
이엠텍 지포스 RTX 3060 Ti STORM X Dual OC D6 8GB,4.9,1191230
MSI 지포스 RTX 3070 Ti 슈프림 X D6X 8GB 트라이프로져2S,4.3,1696000
갤럭시 GALAX 지포스 RTX 3060 EX WHITE OC V2 D6 12GB,4.6,964600
갤럭시 GALAX 지포스 GTX 1660 BLACK D D5 6GB,4.8,713790
이엠텍 지포스 RTX 3080 Ti BLACK EDITION D6X 12GB,4.6,2226000
MSI 지포스 RTX 3090 슈프림 X D6X 24GB 트라이프로져2S,4.5,3403150
XFX 라데온 RX 6600 XT QICK 308 BLACK D6 8GB,5.0,820000
ASUS TUF Gaming 지포스 GTX 1650 O4G P D6 4GB,4.8,602000
PNY XLR8 지포스 RTX 3080 Ti UPRISING EPIC-X RGB D6X 12GB Triple 제이씨현,4.2,2269200
MSI 지포스 GTX1050 Ti OC D5 4GB 스톰,4.7,370000
이엠텍 XENON 지포스 GT1030 D4 2GB,별점없음,119720
ZOTAC GAMING 지포스 GTX 1660 SUPER D6 6GB TWIN,4.7,817500
PALIT 지포스 RTX 3060 Dual D6 12GB,5.0,943400
XFX 라데온 RX 6600 XT MERC 308 BLACK D6 8GB,4.0,848700
MSI 지포스 RTX 3070 게이밍 Z 트리오 D6 8GB 트라이프로져2 LHR,4.5,1372450
SAPPHIRE 라데온 RX 6700 XT PULSE D6 12GB Dual-X,3.8,1320770
ZOTAC GAMING 지포스 RTX 3060 TWIN Edge OC D6 12GB LHR,4.1,935000
ASRock 라데온 RX 6800 XT Taichi X OC D6 16GB 에즈윈,5.0,1991200
ASUS TUF Gaming 지포스 RTX 3070 O8G OC D6 8GB,5.0,1435600
SAPPHIRE 라데온 RX 6800 XT PULSE OC D6 16GB Tri-X,4.5,1852440
갤럭시 GALAX 지포스 RTX 2060 BLACK D D6 6GB,4.6,875000
ZOTAC GAMING 지포스 RTX 3080 Ti AMP Holo Black D6X 12GB,별점없음,2275000
GIGABYTE 지포스 RTX 3060 Ti Gaming OC V2 D6 8GB 피씨디렉트,5.0,1159850
이엠텍 지포스 RTX 3080 BLACK EDITION OC D6X 10GB,4.8,4000000
갤럭시 GALAX 지포스 GTX 1650 BLACK EX D6 4GB,4.8,487600
XFX 라데온 RX 6900 XT MERC 319 BLACK D6 16GB,4.8,5000000
GIGABYTE 지포스 RTX 3080 Ti Gaming OC D6X 12GB 피씨디렉트,5.0,2282740
GIGABYTE 지포스 RTX 3060 Gaming OC V2 D6 12GB 제이씨현,4.5,959000
MSI 지포스 GTX 1650 벤투스 S OC V1 D5 4GB,4.2,445000
GIGABYTE 지포스 RTX 3080 Ti VISION OC D6X 12GB 제이씨현,별점없음,2320000
