날짜,인기검색어
,"['', '', '', '', '', '', '', '', '', '']"
,"['', '', '', '', '', '', '', '', '', '']"
,"['', '', '', '', '', '', '', '', '', '']"
,"['', '', '', '', '', '', '', '', '', '']"
,"['', '', '', '', '', '', '', '', '', '']"
,"['', '', '', '', '', '', '', '', '', '']"
,"['', '', '', '', '', '', '', '', '', '']"
2021.09.08.(수),"['', '', '', '', '', '', '', '', '', '']"
2021.09.09.(목),"['원피스', '가을원피스', '나이키바람막이', '트위드자켓', '나이키후드티', '후드집업', '바람막이', '반팔티', '반바지', '써스데이아일랜드원피스']"
2021.09.10.(금),"['원피스', '가을원피스', '트위드자켓', '나이키바람막이', '나이키후드티', '써스데이아일랜드원피스', '반팔티', '반바지', '팬츠', '바람막이']"
2021.09.11.(토),"['원피스', '나이키후드티', '트위드자켓', '나이키바람막이', '가을원피스', '써스데이아일랜드원피스', '반팔티', '맨투맨', '후드집업', '반바지']"
2021.09.12.(일),"['원피스', '나이키후드티', '써스데이아일랜드원피스', '가을원피스', '트위드자켓', '나이키바람막이', '바람막이', '후드집업', '맨투맨', '블라우스']"
